epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,151.068,0.62861,0.50708,0.87756,0.89358,0.61729,0.64956,0.50154,0.65157,0.45045,0.8652,0.000447796,0.000447796,0.000447796
43,154.385,0.6166,0.49667,0.8887,0.90496,0.59153,0.64363,0.50448,0.6213,0.44415,0.86066,0.000436547,0.000436547,0.000436547
44,157.968,0.63576,0.51308,0.87909,0.86871,0.60809,0.63766,0.50543,0.61542,0.44091,0.86212,0.000425298,0.000425298,0.000425298
45,161.785,0.61556,0.50139,0.8818,0.87224,0.60831,0.64034,0.51275,0.58351,0.42936,0.85597,0.000414049,0.000414049,0.000414049
46,165.116,0.63501,0.51597,0.88623,0.88519,0.61916,0.64749,0.52019,0.59957,0.43714,0.85629,0.000402801,0.000402801,0.000402801
47,168.386,0.61678,0.49095,0.88193,0.87268,0.61597,0.64662,0.50989,0.63467,0.4285,0.85936,0.000391552,0.000391552,0.000391552
48,172.548,0.62418,0.48972,0.88371,0.87993,0.61012,0.64296,0.5127,0.61762,0.41788,0.86113,0.000380303,0.000380303,0.000380303
49,175.837,0.60825,0.4959,0.88633,0.87179,0.60892,0.64332,0.51088,0.60211,0.43228,0.86135,0.000369054,0.000369054,0.000369054
50,179.132,0.59507,0.46658,0.87333,0.86091,0.60452,0.63381,0.51567,0.58291,0.41893,0.85822,0.000357805,0.000357805,0.000357805
51,182.454,0.58831,0.48434,0.86865,0.89446,0.60044,0.6348,0.5158,0.59999,0.41896,0.86046,0.000346556,0.000346556,0.000346556
52,186.502,0.59593,0.47515,0.88347,0.89622,0.59735,0.63885,0.507,0.63109,0.42819,0.85956,0.000335307,0.000335307,0.000335307
53,189.743,0.60883,0.48624,0.88986,0.8645,0.61117,0.64372,0.51292,0.59439,0.41815,0.85766,0.000324058,0.000324058,0.000324058
54,193.048,0.59726,0.50292,0.88334,0.87104,0.62185,0.65085,0.5143,0.60012,0.42097,0.85542,0.00031281,0.00031281,0.00031281
55,197.18,0.59093,0.48245,0.88313,0.8628,0.61403,0.64377,0.51146,0.60224,0.41402,0.85932,0.000301561,0.000301561,0.000301561
56,200.477,0.59559,0.47583,0.87541,0.8913,0.60825,0.65438,0.52278,0.58749,0.41292,0.85895,0.000290312,0.000290312,0.000290312
57,203.766,0.60154,0.48783,0.87754,0.89157,0.61052,0.65793,0.5188,0.61808,0.41039,0.86023,0.000279063,0.000279063,0.000279063
58,207.04,0.59854,0.47559,0.87666,0.88722,0.60893,0.65568,0.5259,0.59474,0.40298,0.85796,0.000267814,0.000267814,0.000267814
59,211.211,0.57693,0.46646,0.87351,0.90299,0.60861,0.65496,0.52447,0.59121,0.40401,0.85486,0.000256565,0.000256565,0.000256565
60,214.489,0.59273,0.46311,0.88102,0.89838,0.61049,0.65205,0.52477,0.58117,0.40719,0.85539,0.000245316,0.000245316,0.000245316
61,217.727,0.56354,0.46568,0.87406,0.89345,0.61355,0.64951,0.51817,0.57118,0.40295,0.85442,0.000234068,0.000234068,0.000234068
62,221.606,0.56694,0.43284,0.86962,0.91407,0.60065,0.65171,0.52329,0.57563,0.38988,0.85397,0.000222819,0.000222819,0.000222819
63,225.119,0.5581,0.46559,0.87645,0.90261,0.60608,0.65842,0.52066,0.58344,0.39843,0.85717,0.00021157,0.00021157,0.00021157
64,228.347,0.58444,0.44522,0.86986,0.88198,0.61217,0.65124,0.52065,0.59301,0.3967,0.8585,0.000200321,0.000200321,0.000200321
65,231.618,0.54859,0.45182,0.86301,0.87911,0.61922,0.65649,0.52221,0.59133,0.3958,0.85816,0.000189072,0.000189072,0.000189072
66,235.89,0.57472,0.44632,0.87376,0.89915,0.61501,0.64843,0.52518,0.58176,0.38405,0.85707,0.000177823,0.000177823,0.000177823
67,239.175,0.57493,0.4497,0.87712,0.89068,0.61328,0.6515,0.52812,0.56147,0.38794,0.85565,0.000166574,0.000166574,0.000166574
